Country,State / Province,City / Region,Tourist Place,Category,Subcategory,Best Season,UNESCO,Description,Latitude,Longitude,Altitude
Ecuador,Galápagos,Puerto Ayora,Galápagos Islands,National Park,"Wildlife, Marine, Nature",Dec–May,Yes,Volcanic archipelago famous for unique wildlife species studied by Charles Darwin.,-0.954,-90.966,0
Ecuador,Pichincha,Quito,Historic Centre of Quito,Historic District,"Colonial, Architecture, Churches",Jun–Sep,Yes,"One of the largest, best-preserved historic centers in the Americas.",-0.22,-78.512,2850
Ecuador,Tungurahua,Baños,Baños de Agua Santa,Adventure,"Hot Springs, Waterfalls",Year-round,No,"Gateway to the Amazon basin famous for waterfalls, thermal springs, and volcano views.",-1.396,-78.425,1820
Ecuador,Azuay,Cuenca,Historic Centre of Santa Ana de los Ríos de Cuenca,Historic City,"Colonial, Architecture, Culture",Jun–Dec,Yes,Charming colonial city known for cobblestone streets and cathedral architecture.,-2.9,-79.006,2560
Ecuador,Cotopaxi,Latacunga,Cotopaxi National Park,National Park,"Volcano, Trekking, Wildlife",Jul–Oct,No,Active snow-capped stratovolcano and high-altitude grassland reserve.,-0.681,-78.438,3800
Ecuador,Imbabura,Otavalo,Otavalo Market,Cultural Market,"Handicrafts, Textiles, Culture",Year-round,No,World-famous Indigenous market showcasing handwoven textiles and crafts.,0.233,-78.267,2532
Ecuador,Loja,Vilcabamba,Vilcabamba Valley of Longevity,Valley / Nature,"Wellness, Hiking, Climate",Year-round,No,Tranquil mountain valley celebrated for clean climate and peaceful hiking trails.,-4.262,-79.222,1500
Ecuador,Manabí,Puerto López,Machalilla National Park,National Park,"Whale Watching, Beaches, Marine",Jun–Sep,No,Coastal reserve famous for humpback whale migration and pristine beaches.,-1.565,-80.813,0
Ecuador,Napo,Tena,Amazon Rainforest Basin,Rainforest,"Eco-Tourism, Jungle, Wildlife",Dec–Mar,No,"Popular base for eco-lodges, jungle treks, and white-water rafting in the Amazon.",-0.994,-77.813,518
Ecuador,Guayas,Guayaquil,Las Peñas & Malecón 2000,Waterfront,"Colonial, Promenade, Culture",Jun–Dec,No,Historic neighborhood on Santa Ana Hill with colorful houses and riverside promenade.,-2.183,-79.883,4
Egypt,Giza Governorate,Giza,Great Pyramids of Giza & Sphinx,Archaeological Site,"Ancient History, Wonders",Oct–Apr,Yes,Iconic ancient complex holding the Great Pyramid of Khufu and Great Sphinx.,29.979,31.134,73
Egypt,Luxor Governorate,Luxor,Karnak Temple Complex,Archaeological Site,"Temples, Statues, Monuments",Oct–Apr,Yes,Massive open-air temple complex dedicated to the Theban Triad.,25.719,32.657,76
