source_id,name,country,country_code,state_province,state_code,city,description,spot_types,category_raw,subcategory_raw,travel_info,latitude,longitude,altitude,display_order,unesco,best_season,image_folder,image_1,image_2,image_3
CA-ALBERTA-001,Banff National Park,Canada,CA,Alberta,,Banff,"Canada's oldest national park, renowned for Rocky Mountain peaks, glaciers, turquoise lakes and abundant wildlife.",Wildlife spots|Natural spots,National Park,"Mountains, Lakes, Wildlife",Drivable,51.497,-115.928,2119,0,Yes,Jun–Sep,images/CA-ALBERTA-001,,,
CA-ALBERTA-002,Lake Louise,Canada,CA,Alberta,,Banff,Iconic glacial lake surrounded by the Canadian Rockies and known for turquoise water and alpine scenery.,Natural spots,Lake,"Mountains, Scenic, Hiking",Drivable,51.425,-116.177,1541,0,Yes,Jun–Sep,images/CA-ALBERTA-002,,,
CA-ALBERTA-003,Moraine Lake,Canada,CA,Alberta,,Banff,"Spectacular glacial lake in the Valley of the Ten Peaks, famous for its vivid blue water.",Natural spots,Lake,"Mountains, Scenic, Hiking",Drivable,51.322,-116.186,1853,0,Yes,Jun–Sep,images/CA-ALBERTA-003,,,
CA-ALBERTA-004,Peyto Lake,Canada,CA,Alberta,,Banff,Glacial-fed lake viewed from an elevated overlook along the Icefields Parkway.,Natural spots,Lake,"Mountains, Scenic, Viewpoint",Drivable,51.717,-116.49,2074,0,Yes,Jun–Sep,images/CA-ALBERTA-004,,,
CA-ALBERTA-005,Johnston Canyon,Canada,CA,Alberta,,Banff,"Popular canyon trail featuring limestone cliffs, waterfalls and forest scenery.",Adventure spots|Natural spots,Canyon,"Waterfalls, Hiking, Nature",Drivable,51.245,-115.84,1438,0,Yes,Jun–Sep,images/CA-ALBERTA-005,,,
CA-ALBERTA-006,Sulphur Mountain,Canada,CA,Alberta,,Banff,Mountain overlooking Banff with hiking trails and panoramic summit views.,Adventure spots|Natural spots,Mountain,"Hiking, Gondola, Viewpoint",Drivable,51.115,-115.564,1788,0,Yes,Jun–Sep,images/CA-ALBERTA-006,,,
CA-ALBERTA-007,Bow Falls,Canada,CA,Alberta,,Banff,Broad waterfall on the Bow River close to the town of Banff.,Natural spots,Waterfall,"River, Scenic",Drivable,51.167,-115.563,1389,0,Yes,May–Sep,images/CA-ALBERTA-007,,,
CA-ALBERTA-008,Lake Minnewanka,Canada,CA,Alberta,,Banff,"Large mountain lake near Banff offering cruises, hiking and dramatic shoreline scenery.",Natural spots,Lake,"Boating, Mountains, Scenic",Drivable,51.253,-115.5,1557,0,Yes,Jun–Sep,images/CA-ALBERTA-008,,,
CA-ALBERTA-009,Jasper National Park,Canada,CA,Alberta,,Jasper,"Vast Rocky Mountain national park known for glaciers, lakes, wildlife and dark skies.",Wildlife spots|Natural spots,National Park,"Mountains, Wildlife, Lakes",Drivable,52.874,-117.954,1945,0,Yes,Jun–Sep,images/CA-ALBERTA-009,,,
CA-ALBERTA-010,Athabasca Falls,Canada,CA,Alberta,,Jasper,Powerful waterfall where the Athabasca River cuts through a narrow canyon.,Adventure spots|Natural spots,Waterfall,"Canyon, River, Scenic",Drivable,52.915,-117.929,1577,0,Yes,Jun–Sep,images/CA-ALBERTA-010,,,
