Country,State / Province,City / Region,Tourist Place,Category,Subcategory,Best Season,UNESCO,Description,Latitude,Longitude,Altitude
Canada,Alberta,Banff,Banff National Park,National Park,"Mountains, Lakes, Wildlife",Jun–Sep,Yes,"Canada's oldest national park, renowned for Rocky Mountain peaks, glaciers, turquoise lakes and abundant wildlife.",51.497,-115.928,2119
Canada,Alberta,Banff,Lake Louise,Lake,"Mountains, Scenic, Hiking",Jun–Sep,Yes,Iconic glacial lake surrounded by the Canadian Rockies and known for turquoise water and alpine scenery.,51.425,-116.177,1541
Canada,Alberta,Banff,Moraine Lake,Lake,"Mountains, Scenic, Hiking",Jun–Sep,Yes,"Spectacular glacial lake in the Valley of the Ten Peaks, famous for its vivid blue water.",51.322,-116.186,1853
Canada,Alberta,Banff,Peyto Lake,Lake,"Mountains, Scenic, Viewpoint",Jun–Sep,Yes,Glacial-fed lake viewed from an elevated overlook along the Icefields Parkway.,51.717,-116.49,2074
Canada,Alberta,Banff,Johnston Canyon,Canyon,"Waterfalls, Hiking, Nature",Jun–Sep,Yes,"Popular canyon trail featuring limestone cliffs, waterfalls and forest scenery.",51.245,-115.84,1438
Canada,Alberta,Banff,Sulphur Mountain,Mountain,"Hiking, Gondola, Viewpoint",Jun–Sep,Yes,Mountain overlooking Banff with hiking trails and panoramic summit views.,51.115,-115.564,1788
Canada,Alberta,Banff,Bow Falls,Waterfall,"River, Scenic",May–Sep,Yes,Broad waterfall on the Bow River close to the town of Banff.,51.167,-115.563,1389
Canada,Alberta,Banff,Lake Minnewanka,Lake,"Boating, Mountains, Scenic",Jun–Sep,Yes,"Large mountain lake near Banff offering cruises, hiking and dramatic shoreline scenery.",51.253,-115.5,1557
Canada,Alberta,Jasper,Jasper National Park,National Park,"Mountains, Wildlife, Lakes",Jun–Sep,Yes,"Vast Rocky Mountain national park known for glaciers, lakes, wildlife and dark skies.",52.874,-117.954,1945
Canada,Alberta,Jasper,Athabasca Falls,Waterfall,"Canyon, River, Scenic",Jun–Sep,Yes,Powerful waterfall where the Athabasca River cuts through a narrow canyon.,52.915,-117.929,1577
Canada,Alberta,Jasper,Maligne Lake,Lake,"Mountains, Boating, Scenic",Jun–Sep,Yes,Famous alpine lake known for Spirit Island and spectacular mountain surroundings.,52.72,-117.636,1706
Canada,Alberta,Jasper,Spirit Island,Island,"Lake, Mountains, Scenic",Jun–Sep,Yes,Small scenic island on Maligne Lake surrounded by dramatic Canadian Rockies.,52.666,-117.505,2124
Canada,Alberta,Jasper,Maligne Canyon,Canyon,"Waterfalls, Hiking, Geology",Jun–Sep,Yes,"Deep limestone canyon featuring waterfalls, bridges and striking geological formations.",52.925,-117.124,1897
Canada,Alberta,Jasper,Columbia Icefield,Glacier,"Mountains, Icefield, Adventure",Jun–Sep,Yes,Major icefield feeding several glaciers and a prominent landscape along the Icefields Parkway.,52.221,-117.225,2003
Canada,Alberta,Jasper,Athabasca Glacier,Glacier,"Ice, Mountains, Adventure",Jun–Sep,Yes,Accessible glacier of the Columbia Icefield and a major Icefields Parkway attraction.,52.219,-117.225,1970
Canada,British Columbia,Field,Yoho National Park,National Park,"Mountains, Lakes, Waterfalls",Jun–Sep,Yes,"Rocky Mountain park known for waterfalls, alpine lakes, glaciers and dramatic geology.",51.4,-116.487,1249
Canada,British Columbia,Field,Emerald Lake,Lake,"Mountains, Canoeing, Scenic",Jun–Sep,Yes,Turquoise alpine lake surrounded by forest and rugged mountain peaks.,51.443,-116.54,1311
Canada,British Columbia,Field,Takakkaw Falls,Waterfall,"Mountains, Hiking, Scenic",Jun–Sep,Yes,"One of Canada's highest waterfalls, fed by glacial meltwater in Yoho National Park.",51.497,-116.47,1890
Canada,British Columbia,Radium Hot Springs,Kootenay National Park,National Park,"Mountains, Hot Springs, Wildlife",Jun–Sep,Yes,"Rocky Mountain park featuring hot springs, canyons, glaciers and diverse ecosystems.",50.885,-115.978,1416
Canada,British Columbia,Vancouver,Stanley Park,Park,"Urban, Forest, Seawall",May–Sep,No,"Large urban park surrounded by water and known for forest trails, gardens and the seawall.",49.304,-123.144,39
Canada,British Columbia,Vancouver,Granville Island,Market,"Food, Shopping, Culture",Year-round,No,"Vibrant waterfront district featuring a public market, artisan shops, galleries and restaurants.",49.271,-123.134,6
Canada,British Columbia,Vancouver,Capilano Suspension Bridge,Bridge,"Forest, Adventure, Viewpoint",May–Sep,No,Suspension bridge and forest attraction spanning the Capilano River canyon.,49.343,-123.115,32
Canada,British Columbia,Vancouver,Grouse Mountain,Mountain,"Hiking, Skiing, Viewpoint",Jun–Sep,No,"Mountain resort offering hiking, skiing, wildlife experiences and views over Vancouver.",49.373,-123.099,310
Canada,British Columbia,Whistler,Whistler Blackcomb,Ski Resort,"Skiing, Hiking, Mountains",Dec–Mar,No,World-renowned mountain resort offering extensive winter sports and summer activities.,50.116,-122.957,672
Canada,British Columbia,Victoria,Butchart Gardens,Garden,"Botanical, Flowers, Landscape",Mar–Oct,No,Famous formal gardens created in a former limestone quarry near Victoria.,48.563,-123.465,43
Canada,British Columbia,Tofino,Pacific Rim National Park Reserve,National Park,"Beach, Rainforest, Hiking",Jun–Sep,No,"Protected Pacific coastline combining temperate rainforest, beaches and marine environments.",49.066,-125.743,18
Canada,Ontario,Toronto,CN Tower,Tower,"City View, Architecture",May–Oct,No,Iconic Toronto landmark with observation decks overlooking the city and Lake Ontario.,43.643,-79.387,90
Canada,Ontario,Toronto,Royal Ontario Museum,Museum,"History, Art, Natural History",Year-round,No,"Major museum with extensive collections spanning natural history, world cultures and art.",43.668,-79.395,120
Canada,Ontario,Toronto,Casa Loma,Castle,"Architecture, History",Year-round,No,"Gothic Revival mansion and Toronto landmark with grand interiors, gardens and towers.",43.678,-79.409,155
Canada,Ontario,Toronto,Toronto Islands,Island,"Beach, Park, Recreation",May–Sep,No,"Chain of islands offering beaches, parks, cycling and skyline views across Toronto Harbour.",43.621,-79.378,77
