source_id,name,country,country_code,state_province,state_code,city,description,spot_types,category_raw,subcategory_raw,travel_info,latitude,longitude,altitude,display_order,unesco,best_season,image_folder,image_1,image_2,image_3
AF-BAMYAN-001,Bamyan Valley,Afghanistan,AF,Bamyan,,Bamyan,"Bamyan Valley is renowned for its dramatic sandstone cliffs, ancient cave complexes, and rich Buddhist heritage. Although the famous giant Buddha statues were destroyed, the valley remains one of Afghanistan's most important historical and scenic destinations.",Cultural spots|Natural spots,Valley,"Mountains, Cultural",Drivable,34.83,67.812,2589,0,Yes,"Apr–Jun, Sep–Oct",images/AF-BAMYAN-001,,,
AF-BAMYAN-002,Band-e-Amir National Park,Afghanistan,AF,Bamyan,,Bamyan,"Afghanistan's first national park, Band-e-Amir is famous for six deep-blue lakes separated by natural travertine dams. The striking contrast between turquoise water and rugged mountains makes it the country's premier natural attraction.",Natural spots,National Park,"Lakes, Mountains",Drivable,34.89,67.284,3182,0,No,May–Sep,images/AF-BAMYAN-002,,,
AF-KABUL-001,Gardens of Babur,Afghanistan,AF,Kabul,,Kabul,"Built in the 16th century by Emperor Babur, these terraced gardens offer peaceful landscapes, historical architecture, and panoramic views over Kabul. It is one of the city's most significant cultural landmarks.",Historical spots|Cultural spots,Garden,Historic Garden,Drivable,34.503,69.158,1817,0,No,Mar–May,images/AF-KABUL-001,,,
AF-KABUL-002,Darul Aman Palace,Afghanistan,AF,Kabul,,Kabul,Darul Aman Palace is a restored early-20th-century royal palace symbolising Afghanistan's modern history. Its grand European-inspired architecture attracts visitors interested in history and heritage.,Historical spots,Monument,Palace,Walkable,34.465,69.12,1827,0,No,Mar–May,images/AF-KABUL-002,,,
AF-HERAT-001,Herat Citadel,Afghanistan,AF,Herat,,Herat,"Also known as the Citadel of Alexander, this ancient fortress has stood for centuries overlooking Herat. It showcases Persian, Timurid, and Islamic architectural influences.",Historical spots,Monument,Fort,Drivable,34.346,62.188,924,0,Tentative,Apr–Jun,images/AF-HERAT-001,,,
AF-HERAT-002,Friday Mosque (Jami Mosque),Afghanistan,AF,Herat,,Herat,"One of Central Asia's finest mosques, the Friday Mosque is celebrated for its intricate blue-tiled façades, elegant courtyards, and centuries of Islamic architecture.",Religious/spiritual spots,Religious Site,Mosque,Drivable,34.344,62.203,980,0,No,Year-round,images/AF-HERAT-002,,,
AF-BADAKHSHAN-001,Wakhan Corridor,Afghanistan,AF,Badakhshan,,Wakhan,"The Wakhan Corridor is a remote mountain region bordered by the Pamirs and the Hindu Kush. Visitors experience pristine alpine scenery, glaciers, traditional villages, and exceptional trekking routes.",Adventure spots|Natural spots,Mountain,"Valley, Trekking",Drivable,37.067,73.267,3500,0,No,Jun–Sep,images/AF-BADAKHSHAN-001,,,
AF-BADAKHSHAN-002,Noshaq Peak,Afghanistan,AF,Badakhshan,,Fayzabad,"Noshaq is Afghanistan's highest mountain at over 7,400 metres. It attracts experienced climbers seeking challenging expeditions in the Hindu Kush range.",Adventure spots|Natural spots,Mountain,Peak,Drivable,36.432,70.813,7492,0,No,Jun–Aug,images/AF-BADAKHSHAN-002,,,
AF-PARWAN-001,Salang Pass,Afghanistan,AF,Parwan,,Charikar,Salang Pass connects northern and southern Afghanistan through spectacular mountain landscapes. The route offers breathtaking alpine scenery and engineering landmarks.,Adventure spots|Natural spots,Mountain,Scenic Drive,Drivable,35.317,69.083,3878,0,No,Jun–Sep,images/AF-PARWAN-001,,,
AF-BALKH-001,Ancient City of Balkh,Afghanistan,AF,Balkh,,Balkh,"Often called the ""Mother of Cities,"" Balkh has been an important centre of civilisation for over 2,000 years. Ancient ruins, mosques, and fortifications reflect its rich cultural legacy.",Historical spots,Archaeological Site,Historic City,Drivable,36.758,66.898,365,0,Tentative,Apr–Jun,images/AF-BALKH-001,,,
