source_id,name,country,country_code,state_province,state_code,city,description,spot_types,category_raw,subcategory_raw,travel_info,latitude,longitude,altitude,display_order,unesco,best_season,image_folder,image_1,image_2,image_3
EC-GALAPAGOS-001,Galápagos Islands,Ecuador,EC,Galápagos,,Puerto Ayora,Volcanic archipelago famous for unique wildlife species studied by Charles Darwin.,Wildlife spots|Natural spots,National Park,"Wildlife, Marine, Nature",Drivable,-0.954,-90.966,0,0,Yes,Dec–May,images/EC-GALAPAGOS-001,,,
EC-PICHINCHA-001,Historic Centre of Quito,Ecuador,EC,Pichincha,,Quito,"One of the largest, best-preserved historic centers in the Americas.",Historical spots|Cultural spots,Historic District,"Colonial, Architecture, Churches",Drivable,-0.22,-78.512,2850,0,Yes,Jun–Sep,images/EC-PICHINCHA-001,,,
EC-TUNGURAHUA-001,Baños de Agua Santa,Ecuador,EC,Tungurahua,,Baños,"Gateway to the Amazon basin famous for waterfalls, thermal springs, and volcano views.",Adventure spots,Adventure,"Hot Springs, Waterfalls",Drivable,-1.396,-78.425,1820,0,No,Year-round,images/EC-TUNGURAHUA-001,,,
EC-AZUAY-001,Historic Centre of Santa Ana de los Ríos de Cuenca,Ecuador,EC,Azuay,,Cuenca,Charming colonial city known for cobblestone streets and cathedral architecture.,Historical spots|Cultural spots,Historic City,"Colonial, Architecture, Culture",Drivable,-2.9,-79.006,2560,0,Yes,Jun–Dec,images/EC-AZUAY-001,,,
EC-COTOPAXI-001,Cotopaxi National Park,Ecuador,EC,Cotopaxi,,Latacunga,Active snow-capped stratovolcano and high-altitude grassland reserve.,Wildlife spots|Adventure spots|Natural spots,National Park,"Volcano, Trekking, Wildlife",Drivable,-0.681,-78.438,3800,0,No,Jul–Oct,images/EC-COTOPAXI-001,,,
EC-IMBABURA-001,Otavalo Market,Ecuador,EC,Imbabura,,Otavalo,World-famous Indigenous market showcasing handwoven textiles and crafts.,Cultural spots,Cultural Market,"Handicrafts, Textiles, Culture",Walkable,0.233,-78.267,2532,0,No,Year-round,images/EC-IMBABURA-001,,,
EC-LOJA-001,Vilcabamba Valley of Longevity,Ecuador,EC,Loja,,Vilcabamba,Tranquil mountain valley celebrated for clean climate and peaceful hiking trails.,Cultural spots|Natural spots,Valley / Nature,"Wellness, Hiking, Climate",Drivable,-4.262,-79.222,1500,0,No,Year-round,images/EC-LOJA-001,,,
EC-MANABI-001,Machalilla National Park,Ecuador,EC,Manabí,,Puerto López,Coastal reserve famous for humpback whale migration and pristine beaches.,Natural spots,National Park,"Whale Watching, Beaches, Marine",Drivable,-1.565,-80.813,0,0,No,Jun–Sep,images/EC-MANABI-001,,,
EC-NAPO-001,Amazon Rainforest Basin,Ecuador,EC,Napo,,Tena,"Popular base for eco-lodges, jungle treks, and white-water rafting in the Amazon.",Wildlife spots,Rainforest,"Eco-Tourism, Jungle, Wildlife",Drivable,-0.994,-77.813,518,0,No,Dec–Mar,images/EC-NAPO-001,,,
EC-GUAYAS-001,Las Peñas & Malecón 2000,Ecuador,EC,Guayas,,Guayaquil,Historic neighborhood on Santa Ana Hill with colorful houses and riverside promenade.,Beach spots,Waterfront,"Colonial, Promenade, Culture",Drivable,-2.183,-79.883,4,0,No,Jun–Dec,images/EC-GUAYAS-001,,,
