source_id,name,country,country_code,state_province,state_code,city,description,spot_types,category_raw,subcategory_raw,travel_info,latitude,longitude,altitude,display_order,unesco,best_season,image_folder,image_1,image_2,image_3
FJ-WESTERN-DIVISION-001,Mamanuca Islands,Fiji,FJ,Western Division,,Nadi,"Picturesque island cluster famed for crystal-clear waters, luxury resorts, and world-class surfing.",Beach spots|Wildlife spots,Archipelago / Island,"Beaches, Coral Reefs, Water Sports",Flight Required,-17.75,177.117,5,0,No,May–Oct,images/FJ-WESTERN-DIVISION-001,,,
FJ-WESTERN-DIVISION-002,Yasawa Island Group,Fiji,FJ,Western Division,,Yasawa Islands,"Volcanic chain of islands known for dramatic limestone caves, white sand beaches, and pristine lagoons.",Beach spots|Wildlife spots,Island Chain,"Beaches, Lagoons, Cave Diving",Flight Required,-16.917,177.383,15,0,No,May–Oct,images/FJ-WESTERN-DIVISION-002,,,
FJ-NORTHERN-DIVISION-001,Bouma National Heritage Park,Fiji,FJ,Northern Division,,Taveuni,Lush island rainforest sanctuary featuring Tavoro Waterfalls and rare tropical flora.,Natural spots,National Heritage Park,"Waterfalls, Rainforest, Hiking",Drivable,-16.833,-179.917,300,0,No,May–Oct,images/FJ-NORTHERN-DIVISION-001,,,
FJ-CENTRAL-DIVISION-001,Colo-I-Suva Forest Park,Fiji,FJ,Central Division,,Suva,Tropical rainforest park near Suva offering natural swimming holes and lush walking trails.,Natural spots,Forest Reserve,"Natural Pools, Birdwatching, Trails",Drivable,-18.05,178.467,160,0,No,May–Oct,images/FJ-CENTRAL-DIVISION-001,,,
FJ-CENTRAL-DIVISION-002,Beqa Lagoon Shark Dive,Fiji,FJ,Central Division,,Pacific Harbour,World-renowned diving site famous for cage-free encounters with bull sharks and tiger sharks.,Wildlife spots,Marine Sanctuary,"Scuba Diving, Shark Sanctuary",Drivable,-18.383,178.133,0,0,No,May–Oct,images/FJ-CENTRAL-DIVISION-002,,,
FJ-WESTERN-DIVISION-003,Sigatoka Sand Dunes National Park,Fiji,FJ,Western Division,,Sigatoka,Fiji's first national park featuring towering coastal sand dunes and ancient Lapita pottery ruins.,Historical spots|Natural spots,National Park,"Sand Dunes, Archaeology, Coast",Drivable,-18.167,177.5,20,0,No,May–Oct,images/FJ-WESTERN-DIVISION-003,,,
FJ-NORTHERN-DIVISION-002,Jean-Michel Cousteau Reefs,Fiji,FJ,Northern Division,,Savusavu,Famous marine sanctuary on Vanua Levu Island celebrated for soft coral formations.,Wildlife spots,Marine Reserve,"Coral Reefs, Diving, Eco-Tourism",Drivable,-16.783,179.333,0,0,No,May–Oct,images/FJ-NORTHERN-DIVISION-002,,,
FI-LAPLAND-001,Santa Claus Village,Finland,FI,Lapland,,Rovaniemi,"Official home of Santa Claus situated right on the Arctic Circle, featuring reindeer rides and ice hotels.",Natural spots,Theme Park / Attraction,"Arctic Circle, Winter, Christmas",Drivable,66.543,25.847,100,0,No,Nov–Mar,images/FI-LAPLAND-001,,,
FI-LAPLAND-002,Northern Lights (Aurora Borealis) Reserve,Finland,FI,Lapland,,Inari,Prime northern Finnish location to witness the Aurora Borealis and experience indigenous Sámi culture.,Natural spots,Natural Phenomenon,"Aurora, Arctic Wilderness, Saami Culture",Flight Required,68.906,27.029,130,0,No,Sep–Mar,images/FI-LAPLAND-002,,,
FI-UUSIMAA-001,Suomenlinna Sea Fortress,Finland,FI,Uusimaa,,Helsinki,18th-century inhabited sea fortress built across six islands in Helsinki harbor.,Beach spots|Historical spots,Historic Fortress,"Maritime, History, Island",Flight Required,60.145,24.987,15,0,Yes,May–Sep,images/FI-UUSIMAA-001,,,
FI-UUSIMAA-002,Temppeliaukio (Church of the Rock),Finland,FI,Uusimaa,,Helsinki,Unique Lutheran church carved directly into solid granite bedrock with impressive copper dome acoustics.,Religious/spiritual spots|Cultural spots|Natural spots,Architectural Landmark,"Modern Architecture, Rock Church",Drivable,60.173,24.925,25,0,No,Year-round,images/FI-UUSIMAA-002,,,
FI-LAPLAND-003,Urho Kekkonen National Park,Finland,FI,Lapland,,Saariselkä,"Vast wilderness area featuring fells, pine forests, winter ski trails, and glass igloo resorts.",Adventure spots|Natural spots,National Park,"Arctic Wilderness, Trekking, Skiing",Flight Required,68.333,27.5,300,0,No,Dec–Apr,images/FI-LAPLAND-003,,,
FI-SOUTH-SAVONIA-001,Olavinlinna Castle,Finland,FI,South Savonia,,Savonlinna,"15th-century three-tower castle set on a rocky island in Lake Saimaa, host to the Savonlinna Opera Festival.",Historical spots|Natural spots,Medieval Castle,"Fortress, Lake Region, Opera",Drivable,61.864,28.901,80,0,No,Jun–Aug,images/FI-SOUTH-SAVONIA-001,,,
FI-PIRKANMAA-001,Tammerkoski Rapids & Finlayson Area,Finland,FI,Pirkanmaa,,Tampere,"Revitalized industrial red-brick complex along urban rapids filled with museums, cafes, and shops.",Natural spots,Industrial Heritage,"Red Brick, Lake Culture, Museums",Drivable,61.498,23.761,84,0,No,May–Sep,images/FI-PIRKANMAA-001,,,
FI-OSTROBOTHNIA-001,Kvarken Archipelago,Finland,FI,Ostrobothnia,,Vaasa,Unique island archipelago experiencing rapid post-glacial land uplift from the Baltic Sea.,Beach spots|Natural spots,Natural World Heritage,"Glacial Landforms, Islands",Drivable,63.3,21.3,5,0,Yes,May–Sep,images/FI-OSTROBOTHNIA-001,,,
FI-KYMENLAAKSO-001,Finnish Lake District (Lake Saimaa),Finland,FI,Kymenlaakso,,Kotka,"Europe's largest lake district, home to thousands of islands, summer cottages, and endangered Saimaa ringed seals.",Natural spots,Lake Region,"Lakes, Canoeing, Saimaa Seal",Drivable,61.5,28,76,0,No,Jun–Aug,images/FI-KYMENLAAKSO-001,,,
FR-ILE-DE-FRANCE-001,Eiffel Tower,France,FR,Île-de-France,,Paris,World-famous 19th-century wrought-iron lattice tower on the Champ de Mars.,Cultural spots,Iconic Landmark,"Monuments, Panoramic Views, Architecture",Drivable,48.858,2.295,35,0,Yes,Year-round,images/FR-ILE-DE-FRANCE-001,,,
FR-ILE-DE-FRANCE-002,Louvre Museum,France,FR,Île-de-France,,Paris,World's largest art museum housed in a historic royal palace holding iconic works like Mona Lisa.,Historical spots|Cultural spots,Art Museum,"Fine Art, Mona Lisa, Palace",Walkable,48.861,2.338,34,0,Yes,Year-round,images/FR-ILE-DE-FRANCE-002,,,
FR-ILE-DE-FRANCE-003,Palace of Versailles,France,FR,Île-de-France,,Versailles,Opulent royal chateau of Louis XIV famed for the Hall of Mirrors and vast formal gardens.,Historical spots|Cultural spots,Royal Palace,"Baroque Architecture, Gardens, History",Walkable,48.805,2.12,130,0,Yes,Apr–Oct,images/FR-ILE-DE-FRANCE-003,,,
FR-NORMANDY-001,Mont-Saint-Michel Abbey,France,FR,Normandy,,Le Mont-Saint-Michel,Stunning medieval island commune and Gothic abbey perched atop a rocky tidal islet in Normandy.,Beach spots|Cultural spots,Abbey / Tidal Island,"Gothic Architecture, Tides, History",Flight Required,48.636,-1.511,80,0,Yes,May–Oct,images/FR-NORMANDY-001,,,
FR-PROVENCE-ALPES-COTE-D-AZ-001,Promenade des Anglais & French Riviera,France,FR,Provence-Alpes-Côte d'Azur,,Nice,Famous seaside boulevard stretching along the Mediterranean Sea in Nice.,Beach spots,Coastal Resort,"Mediterranean, Beaches, Luxury",Drivable,43.696,7.265,5,0,Yes,May–Sep,images/FR-PROVENCE-ALPES-COTE-D-AZ-001,,,
FR-PROVENCE-ALPES-COTE-D-AZ-002,Mont Blanc & Aiguille du Midi,France,FR,Provence-Alpes-Côte d'Azur,,Chamonix-Mont-Blanc,Highest mountain peak in Western Europe offering dramatic Alpine views via high-altitude cable cars.,Adventure spots|Natural spots,Mountain Peak,"Alps, Cable Car, Skiing, Views",Drivable,45.924,6.869,3842,0,No,Year-round,images/FR-PROVENCE-ALPES-COTE-D-AZ-002,,,
FR-CENTRE-VAL-DE-LOIRE-001,Château de Chambord,France,FR,Centre-Val de Loire,,Chambord,Largest and most distinctive French Renaissance chateau in the Loire Valley with double-helix staircase.,Cultural spots|Natural spots,Renaissance Chateau,"Architecture, Loire Valley, History",Drivable,47.616,1.517,72,0,Yes,Apr–Oct,images/FR-CENTRE-VAL-DE-LOIRE-001,,,
FR-GRAND-EST-001,Strasbourg Cathedral & La Petite France,France,FR,Grand Est,,Strasbourg,Charming Alsatian district known for timber-framed medieval houses and towering sandstone cathedral.,Historical spots,Historic City,"Gothic Cathedral, Canals, Timber Houses",Drivable,48.582,7.751,142,0,Yes,Year-round,images/FR-GRAND-EST-001,,,
FR-AUVERGNE-RHONE-ALPES-001,Historic Site of Lyon (Vieux Lyon),France,FR,Auvergne-Rhône-Alpes,,Lyon,Renaissance quarter famous for secret covered passageways (traboules) and world-renowned gastronomy.,Historical spots,Historic Center,"Gastronomic Capital, Renaissance, Passageways",Drivable,45.764,4.836,170,0,Yes,Year-round,images/FR-AUVERGNE-RHONE-ALPES-001,,,
FR-NOUVELLE-AQUITAINE-001,Port of the Moon & Wine Region,France,FR,Nouvelle-Aquitaine,,Bordeaux,World's capital of wine featuring 18th-century neoclassical architecture along the Garonne River.,Cultural spots,Wine Capital / City,"Architecture, Vineyards, Gastronomy",Drivable,44.838,-0.579,6,0,Yes,May–Oct,images/FR-NOUVELLE-AQUITAINE-001,,,
FR-OCCITANIE-001,Cité de Carcassonne,France,FR,Occitanie,,Carcassonne,Massive medieval fortress featuring double defensive walls and 52 watchtowers.,Historical spots,Fortified City,"Medieval Walls, Fortress, Towers",Drivable,43.207,2.364,110,0,Yes,May–Oct,images/FR-OCCITANIE-001,,,
FR-PROVENCE-ALPES-COTE-D-AZ-003,Gorges du Verdon,France,FR,Provence-Alpes-Côte d'Azur,,Verdon Gorge,Spectacular river canyon with vivid turquoise waters known as the Grand Canyon of Europe.,Adventure spots,Canyon,"Kayaking, Turquoise Waters, Hiking",Drivable,43.738,6.384,700,0,No,May–Sep,images/FR-PROVENCE-ALPES-COTE-D-AZ-003,,,
FM-POHNPEI-001,Nan Madol Ruins,Micronesia (FSM),FM,Pohnpei,,Madolenihmw,Ancient ruined city built on artificial basalt stone islets connected by tidal canals.,Historical spots,Archaeological Site,"Basalt Megaliths, Venice of Pacific",Drivable,6.844,158.335,2,0,Yes,Year-round,images/FM-POHNPEI-001,,,
